IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP2;IP_PROP3;IP_PROP4;IP_PROP5;IP_PROP6;IP_PROP7;IP_PROP8;IP_PROP9;IP_PROP10;IP_PROP12;IP_PROP43;IP_PROP13;IP_PROP44;IP_PROP16;IP_PROP45;IP_PROP48;IP_PROP52;IP_PROP50;IP_PROP47;IP_PROP14;IP_PROP46;IP_PROP15;IP_PROP49;IP_PROP53;IP_PROP51;IP_PROP17;IP_PROP18;IC_GROUP0;IC_GROUP1;IC_GROUP2
317;Кейс для карт памяти;317;Y;;31.10.2015 22:27:00;;;text;;4X для SD карты, 8 х микро сим-карты;text;case_for_memory_cards;500;;;;;;;;;32316140931;;;1;/upload/iblock/6c1/6c1a66d28c0555716eb42fa6dbb409c6.jpg;;;1;;;;3.3;;5;;;;;166;333; Аксессуары и запчасти;Кейсы для карт памяти;
317;Кейс для карт памяти;317;Y;;31.10.2015 22:27:00;;;text;;4X для SD карты, 8 х микро сим-карты;text;case_for_memory_cards;500;;;;;;;;;32316140931;;;1;/upload/iblock/f73/f73c6f3ead34d92d6e9f49e81f4fbf3b.jpg;;;1;;;;3.3;;5;;;;;166;333; Аксессуары и запчасти;Кейсы для карт памяти;
317;Кейс для карт памяти;317;Y;;31.10.2015 22:27:00;;;text;;4X для SD карты, 8 х микро сим-карты;text;case_for_memory_cards;500;;;;;;;;;32316140931;;;1;/upload/iblock/4ff/4ffcc4f85f4f95ac1b8e6b031e33cb9c.jpg;;;1;;;;3.3;;5;;;;;166;333; Аксессуары и запчасти;Кейсы для карт памяти;
317;Кейс для карт памяти;317;Y;;31.10.2015 22:27:00;;;text;;4X для SD карты, 8 х микро сим-карты;text;case_for_memory_cards;500;;;;;;;;;32316140931;;;1;/upload/iblock/6c1/6c1a66d28c0555716eb42fa6dbb409c6.jpg;;;1;;;;3.3;;5;;;;;166;333; Аксессуары и запчасти;;
317;Кейс для карт памяти;317;Y;;31.10.2015 22:27:00;;;text;;4X для SD карты, 8 х микро сим-карты;text;case_for_memory_cards;500;;;;;;;;;32316140931;;;1;/upload/iblock/f73/f73c6f3ead34d92d6e9f49e81f4fbf3b.jpg;;;1;;;;3.3;;5;;;;;166;333; Аксессуары и запчасти;;
317;Кейс для карт памяти;317;Y;;31.10.2015 22:27:00;;;text;;4X для SD карты, 8 х микро сим-карты;text;case_for_memory_cards;500;;;;;;;;;32316140931;;;1;/upload/iblock/4ff/4ffcc4f85f4f95ac1b8e6b031e33cb9c.jpg;;;1;;;;3.3;;5;;;;;166;333; Аксессуары и запчасти;;
318;жесткий диск SSD 120ГБ, Kingston V300, SV300S37A/120G;318;Y;;;/upload/iblock/2cd/2cdb4a43bd702ca5d2496e1d914f1bac.PNG;"<div>
	 Твердотельный накопитель представляет собой высокопроизводительное и энергоэффективное решение для хранения данных, позволяющее повысить производительность работы домашних компьютеров и ноутбуков.
</div>
 <br>";html;/upload/iblock/4d3/4d3ace91134413a2fb215b92bb88ffd5.PNG;;text;ssd_hard_drive_120gb_kingston_v300_sv300s37a_120g;500;;;жесткий диск SSD;;;;;;386655;Kingston;;2;/upload/iblock/639/6395d5131aee22035b11c2b73a136469.PNG;;;;SV300S37A/120G;Для настольного компьютера или ноутбука;120 ГБ;;;;Kingston V300, SV300S37A;;MLC;"2,5""";;; Аксессуары и запчасти;жесткие диски;
318;жесткий диск SSD 120ГБ, Kingston V300, SV300S37A/120G;318;Y;;;/upload/iblock/2cd/2cdb4a43bd702ca5d2496e1d914f1bac.PNG;"<div>
	 Твердотельный накопитель представляет собой высокопроизводительное и энергоэффективное решение для хранения данных, позволяющее повысить производительность работы домашних компьютеров и ноутбуков.
</div>
 <br>";html;/upload/iblock/4d3/4d3ace91134413a2fb215b92bb88ffd5.PNG;;text;ssd_hard_drive_120gb_kingston_v300_sv300s37a_120g;500;;;жесткий диск SSD;;;;;;386655;Kingston;;2;/upload/iblock/4d4/4d4316d94c054870b5eac1f2076735b5.PNG;;;;SV300S37A/120G;Для настольного компьютера или ноутбука;120 ГБ;;;;Kingston V300, SV300S37A;;MLC;"2,5""";;; Аксессуары и запчасти;жесткие диски;
318;жесткий диск SSD 120ГБ, Kingston V300, SV300S37A/120G;318;Y;;;/upload/iblock/2cd/2cdb4a43bd702ca5d2496e1d914f1bac.PNG;"<div>
	 Твердотельный накопитель представляет собой высокопроизводительное и энергоэффективное решение для хранения данных, позволяющее повысить производительность работы домашних компьютеров и ноутбуков.
</div>
 <br>";html;/upload/iblock/4d3/4d3ace91134413a2fb215b92bb88ffd5.PNG;;text;ssd_hard_drive_120gb_kingston_v300_sv300s37a_120g;500;;;жесткий диск SSD;;;;;;386655;Kingston;;2;/upload/iblock/6dd/6ddb880ef7cb18ad0e599e0f5215a93c.PNG;;;;SV300S37A/120G;Для настольного компьютера или ноутбука;120 ГБ;;;;Kingston V300, SV300S37A;;MLC;"2,5""";;; Аксессуары и запчасти;жесткие диски;
318;жесткий диск SSD 120ГБ, Kingston V300, SV300S37A/120G;318;Y;;;/upload/iblock/2cd/2cdb4a43bd702ca5d2496e1d914f1bac.PNG;"<div>
	 Твердотельный накопитель представляет собой высокопроизводительное и энергоэффективное решение для хранения данных, позволяющее повысить производительность работы домашних компьютеров и ноутбуков.
</div>
 <br>";html;/upload/iblock/4d3/4d3ace91134413a2fb215b92bb88ffd5.PNG;;text;ssd_hard_drive_120gb_kingston_v300_sv300s37a_120g;500;;;жесткий диск SSD;;;;;;386655;Kingston;;2;/upload/iblock/bab/bab109568996b012b509da9fe61c19f9.PNG;;;;SV300S37A/120G;Для настольного компьютера или ноутбука;120 ГБ;;;;Kingston V300, SV300S37A;;MLC;"2,5""";;; Аксессуары и запчасти;жесткие диски;
