detile;imgsrc;title;price;pro_off;original_price;data_end_time;shipping_time
http://group.aliexpress.com/266719009-32491981261-detail.html;http://gtms03.alicdn.com/tps/i3/TB1lFWuKXXXXXaHXpXXqVMCNVXX-400-400.jpg;Смартфон Cubot X16 4G LTE, 2 SIM-карты, экран 5 дюймов 1920х1080, 2ГБ ОЗУ, 16 ГБ ПЗУ, 4-ядерный MTK6735, ОС Android 5.1;129.99;20;162.49;2015/10/30 00:00:40 -0700;35
http://group.aliexpress.com/264778049-32271930267-detail.html;http://gtms01.alicdn.com/tps/i1/TB1hnjpKXXXXXcNXpXXqVMCNVXX-400-400.jpg;Вязаная шапка унисекс;2.18;38;3.52;2015/10/30 00:00:30 -0700;35
http://group.aliexpress.com/264778049-2021662178-detail.html;http://gtms01.alicdn.com/tps/i1/TB1I6jeKXXXXXXzXVXXqVMCNVXX-400-400.jpg;Детские мягкие сапожки на хлопковом подкладе;4.97;29;6.99;2015/10/30 00:00:30 -0700;90
http://group.aliexpress.com/264778049-32335054949-detail.html;http://gtms01.alicdn.com/tps/i1/TB1TVnoKXXXXXXTXFXXqVMCNVXX-400-400.jpg;10 шт./5 упаковок/партия коллагеновая маска для кожи вокруг глаз;1.29;19;1.59;2015/10/30 00:00:30 -0700;60
http://group.aliexpress.com/264778049-32315279756-detail.html;http://gtms03.alicdn.com/tps/i3/TB1a__dKXXXXXc0XFXXqVMCNVXX-400-400.jpg;Универсальное автомобильное зарядное устройство с 2 USB-портами, с интеллектуальной защитой;1.10;80;5.58;2015/10/30 00:00:30 -0700;23
http://group.aliexpress.com/264778049-32274840936-detail.html;http://gtms02.alicdn.com/tps/i2/TB1ZULzKXXXXXb7XXXXqVMCNVXX-400-400.jpg;25 в 1 набор прецизионных отвёрток для ремонта электроники;6.30;57;14.70;2015/10/30 00:00:30 -0700;45
http://group.aliexpress.com/264778049-763595621-detail.html;http://gtms04.alicdn.com/tps/i4/TB1Mwe_KXXXXXb8XVXXqVMCNVXX-400-400.jpg;Детский игровой коврик, 200х160 см;17.00;19;20.99;2015/10/30 00:00:30 -0700;90
http://group.aliexpress.com/264778049-935946163-detail.html;http://gtms02.alicdn.com/tps/i2/TB1CjnvKXXXXXc7XXXXqVMCNVXX-400-400.jpg;Женские часы в ретро стиле, на кожаном ремешке с деревянными бусинами;1.79;55;3.98;2015/10/30 00:00:30 -0700;90
http://group.aliexpress.com/264778049-1160282174-detail.html;http://gtms02.alicdn.com/tps/i2/TB15KPkKXXXXXaTXFXXqVMCNVXX-400-400.jpg;Детский комбинезон с длинным рукавом, из хлопка;5.62;32;8.22;2015/10/30 00:00:30 -0700;35
http://group.aliexpress.com/264778049-1178062837-detail.html;http://gtms03.alicdn.com/tps/i3/TB15KHvKXXXXXXNXpXXqVMCNVXX-400-400.jpg;Бюстгальтер с эффектом пуш-ап;3.83;52;7.90;2015/10/30 00:00:30 -0700;75
http://group.aliexpress.com/264778049-1188198607-detail.html;http://gtms01.alicdn.com/tps/i1/TB1NhLmKXXXXXafXFXXqVMCNVXX-400-400.jpg;Спортивные наушники с креплением, разъём 3,5 мм;0.91;27;1.25;2015/10/30 00:00:30 -0700;45
http://group.aliexpress.com/264778049-1206819091-detail.html;http://gtms02.alicdn.com/tps/i2/TB1x9DwKXXXXXcZXXXXqVMCNVXX-400-400.jpg;Жвачка-прикол с электрошоком;0.63;80;3.13;2015/10/30 00:00:30 -0700;45
http://group.aliexpress.com/264778049-1215630265-detail.html;http://gtms03.alicdn.com/tps/i3/TB1veh.JFXXXXc0XVXXqVMCNVXX-400-400.jpg;2 шт. щиток для автомобильного зеркала заднего вида;1.11;26;1.51;2015/10/30 00:00:30 -0700;45
http://group.aliexpress.com/264778049-1363765995-detail.html;http://gtms04.alicdn.com/tps/i4/TB152_BKXXXXXa9XXXXqVMCNVXX-400-400.jpg;Металлические наушники-вкладыши супер бас, разъём 3,5 мм;1.99;75;7.98;2015/10/30 00:00:30 -0700;90
http://group.aliexpress.com/264778049-1367711041-detail.html;http://gtms01.alicdn.com/tps/i1/TB1ybkGIXXXXXbTXVXXqVMCNVXX-400-400.jpg;26 шт. китайский чай, 13 видов;6.60;58;15.60;2015/10/30 00:00:30 -0700;60
http://group.aliexpress.com/264778049-1458140556-detail.html;http://gtms04.alicdn.com/tps/i4/TB1ZgrzKXXXXXcXXXXXqVMCNVXX-400-400.jpg;Жидкая водостойкая подводка для глаз;0.69;65;2.00;2015/10/30 00:00:30 -0700;90
http://group.aliexpress.com/264778049-1504667521-detail.html;http://gtms01.alicdn.com/tps/i1/TB1TBfpKXXXXXcoXpXXqVMCNVXX-400-400.jpg;Мужские длинные термоштаны;6.80;64;18.99;2015/10/30 00:00:30 -0700;50
http://group.aliexpress.com/264778049-1621862474-detail.html;http://gtms03.alicdn.com/tps/i3/TB1xw_zKXXXXXbWXXXXqVMCNVXX-400-400.jpg;Женская вместительная сумка-тоут из ПУ кожи;12.09;24;15.99;2015/10/30 00:00:30 -0700;60
